,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
34,0,1,0,0,0,0,0,0,0,0,3,0,0,3,62,2,4,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,37,102,0,0,0,0,0,0,0,0,0,0,0,25,19,16,11,0,0,0,0,0,0,0,0,6,18,2,16,0,0,2,5,0,0,0,0,0,1,0,1,0,0,0,0,0
35,0,9,0,0,0,0,1,0,14,3,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3
36,0,11,0,0,0,0,2,1,23,9,0,0,0,0,0,0,0,40,10,10,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,14,125,0,0,0,0,0,0,1,21,52,1,0,0,0,5,0,0,1,20,4,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,13,0,0,0,28,15
37,0,0,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
38,0,0,36,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0
39,1,0,0,0,39,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,0,0,0,0,0,1,0,0,0,11,16,1,2,1,1,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,0,1,0,0,67,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,34,58,0,0,0,0,0,0,0,0,0,23,21,2,3,0,0,0,2,0,0,0,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,10,13,7,0,0,0,2,10,13,0,0,0,0,0,0,0,0,16,2,14,2,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0,3,9,0,0,0,7,1,2,0,3,0,0,0,0,0,0,0
42,0,0,0,0,0,15,1,2,0,0,6,6,0,1,9,0,0,0,0,0,4,3,0,1,8,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,121,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,30,29,2,0,0,2,20,0,41,1,2,0,0,2,0,0,0
43,0,0,0,0,0,25,0,0,0,0,2,1,3,0,0,0,0,2,1,0,2,3,0,1,17,9,29,1,0,1,3,24,7,0,0,0,0,0,0,0,0,17,11,74,0,0,0,0,0,0,0,0,0,0,2,18,4,1,1,0,0,0,12,2,1,1,2,52,18,8,1,8,1,2,1,7,0,0,1
