,Unnamed: 0,Hora,estacion,produccion_media_kWh,produccion_ajustada
376,376,9,16,0.395267745928,0.07531834872396424
377,377,9,17,0.3670343355045714,0.0699384666722525
378,378,9,18,0.7340686710091429,0.13987693334450502
379,379,9,19,0.2823341042342858,0.053798820517117325
380,380,9,20,0.395267745928,0.07531834872396424
381,381,9,21,0.5082013876217143,0.09683787693081117
382,382,9,22,0.2823341042342858,0.053798820517117325
383,383,9,23,0.2823341042342858,0.053798820517117325
384,384,9,24,0.7058352605857143,0.1344970512927933
385,385,9,25,0.3105675146577143,0.059178702568829046
386,386,9,26,0.4235011563514286,0.08069823077567598
387,387,9,27,0.592901618892,0.11297752308594636
388,388,9,28,0.6776018501622857,0.12911716924108155
389,389,9,29,0.6493684397388572,0.12373728718936983
390,390,9,30,0.6493684397388572,0.12373728718936983
391,391,9,31,0.3105675146577143,0.059178702568829046
392,392,9,32,0.5646682084685716,0.10759764103423465
393,393,9,33,0.592901618892,0.11297752308594636
394,394,9,34,0.4517345667748572,0.08607811282738771
395,395,9,35,0.395267745928,0.07531834872396424
396,396,9,36,0.8187689022794287,0.15601657949964023
397,397,9,37,0.3670343355045714,0.0699384666722525
398,398,9,38,0.4235011563514286,0.08069823077567598
399,399,9,39,0.3105675146577143,0.059178702568829046
400,400,10,0,0.8800043250365714,0.16768500165903893
401,401,10,1,0.7652211522057144,0.14581304492090344
402,402,10,2,0.5739158641542857,0.10935978369067757
403,403,10,3,0.6121769217645715,0.11665043593672275
404,404,10,4,0.4208716337131429,0.08019717470649688
405,405,10,5,1.071309613088,0.2041382628892648
406,406,10,6,1.071309613088,0.2041382628892648
407,407,10,7,0.6886990369851429,0.13123174042881308
408,408,10,8,0.9182653826468572,0.17497565390508413
409,409,10,9,0.535654806544,0.1020691314446324
410,410,10,10,0.4591326913234286,0.08748782695254206
411,411,10,11,0.4591326913234286,0.08748782695254206
412,412,10,12,0.3443495184925714,0.06561587021440653
413,413,10,13,0.3443495184925714,0.06561587021440653
414,414,10,14,0.267827403272,0.0510345657223162
415,415,10,15,0.4591326913234286,0.08748782695254206
416,416,10,16,0.535654806544,0.1020691314446324
417,417,10,17,0.4973937489337143,0.09477847919858723
418,418,10,18,0.9947874978674286,0.18955695839717446
419,419,10,19,0.3826105761028572,0.07290652246045172
420,420,10,20,0.535654806544,0.1020691314446324
421,421,10,21,0.6886990369851429,0.13123174042881308
422,422,10,22,0.3826105761028572,0.07290652246045172
423,423,10,23,0.3826105761028572,0.07290652246045172
424,424,10,24,0.956526440257143,0.1822663061511293
425,425,10,25,0.4208716337131429,0.08019717470649688
426,426,10,26,0.5739158641542857,0.10935978369067757
427,427,10,27,0.803482209816,0.1531036971669486
428,428,10,28,0.9182653826468572,0.17497565390508413
429,429,10,29,0.8800043250365714,0.16768500165903893
430,430,10,30,0.8800043250365714,0.16768500165903893
431,431,10,31,0.4208716337131429,0.08019717470649688
432,432,10,32,0.7652211522057144,0.14581304492090344
433,433,10,33,0.803482209816,0.1531036971669486
434,434,10,34,0.6121769217645715,0.11665043593672275
435,435,10,35,0.535654806544,0.1020691314446324
436,436,10,36,1.1095706706982855,0.21142891513530992
437,437,10,37,0.4973937489337143,0.09477847919858723
438,438,10,38,0.5739158641542857,0.10935978369067757
439,439,10,39,0.4208716337131429,0.08019717470649688
440,440,11,0,0.9730524829488572,0.1854153469198349
441,441,11,1,0.8461325938685714,0.16123073645203037
442,442,11,2,0.6345994454014285,0.12092305233902277
443,443,11,3,0.6769060750948572,0.1289845891616243
444,444,11,4,0.4653729266277143,0.08867690504861671
445,445,11,5,1.1845856314160002,0.22572303103284255
446,446,11,6,1.1845856314160002,0.22572303103284255
447,447,11,7,0.7615193344817143,0.14510766280682733
448,448,11,8,1.0153591126422856,0.19347688374243643
449,449,11,9,0.5922928157080001,0.11286151551642128
450,450,11,10,0.5076795563211428,0.09673844187121822
451,451,11,11,0.5076795563211428,0.09673844187121822
452,452,11,12,0.3807596672408571,0.07255383140341365
453,453,11,13,0.3807596672408571,0.07255383140341365
454,454,11,14,0.296146407854,0.056430757758210624
455,455,11,15,0.5076795563211428,0.09673844187121822
456,456,11,16,0.5922928157080001,0.11286151551642128
457,457,11,17,0.5499861860145714,0.10479997869381973
458,458,11,18,1.0999723720291428,0.20959995738763945
459,459,11,19,0.4230662969342857,0.08061536822601519
460,460,11,20,0.5922928157080001,0.11286151551642128
461,461,11,21,0.7615193344817143,0.14510766280682733
462,462,11,22,0.4230662969342857,0.08061536822601519
463,463,11,23,0.4230662969342857,0.08061536822601519
464,464,11,24,1.0576657423357143,0.20153842056503796
465,465,11,25,0.4653729266277143,0.08867690504861671
466,466,11,26,0.6345994454014285,0.12092305233902277
467,467,11,27,0.888439223562,0.1692922732746319
468,468,11,28,1.0153591126422856,0.19347688374243643
469,469,11,29,0.9730524829488572,0.1854153469198349
470,470,11,30,0.9730524829488572,0.1854153469198349
471,471,11,31,0.4653729266277143,0.08867690504861671
472,472,11,32,0.8461325938685714,0.16123073645203037
473,473,11,33,0.888439223562,0.1692922732746319
474,474,11,34,0.6769060750948572,0.1289845891616243
475,475,11,35,0.5922928157080001,0.11286151551642128
476,476,11,36,1.2268922611094286,0.23378456785544405
477,477,11,37,0.5499861860145714,0.10479997869381973
478,478,11,38,0.6345994454014285,0.12092305233902277
479,479,11,39,0.4653729266277143,0.08867690504861671
480,480,12,0,1.001819058661143,0.1908968237248939
481,481,12,1,0.8711470075314287,0.16599723802164684
482,482,12,2,0.6533602556485716,0.12449792851623515
483,483,12,3,0.696917606025143,0.13279779041731749
484,484,12,4,0.4791308541422858,0.09129848091190576
485,485,12,5,1.219605810544,0.23239613323030553
486,486,12,6,1.219605810544,0.23239613323030553
487,487,12,7,0.7840323067782858,0.14939751421948216
488,488,12,8,1.0453764090377144,0.19919668562597623
489,489,12,9,0.609802905272,0.11619806661515276
490,490,12,10,0.5226882045188572,0.09959834281298811
491,491,12,11,0.5226882045188572,0.09959834281298811
492,492,12,12,0.3920161533891429,0.07469875710974108
493,493,12,13,0.3920161533891429,0.07469875710974108
494,494,12,14,0.304901452636,0.05809903330757638
495,495,12,15,0.5226882045188572,0.09959834281298811
496,496,12,16,0.609802905272,0.11619806661515276
497,497,12,17,0.5662455548954286,0.10789820471407044
498,498,12,18,1.1324911097908572,0.21579640942814088
499,499,12,19,0.4355735037657143,0.08299861901082341
500,500,12,20,0.609802905272,0.11619806661515276
501,501,12,21,0.7840323067782858,0.14939751421948216
502,502,12,22,0.4355735037657143,0.08299861901082341
503,503,12,23,0.4355735037657143,0.08299861901082341
504,504,12,24,1.0889337594142858,0.20749654752705854
505,505,12,25,0.4791308541422858,0.09129848091190576
506,506,12,26,0.6533602556485716,0.12449792851623515
507,507,12,27,0.914704357908,0.17429709992272915
508,508,12,28,1.0453764090377144,0.19919668562597623
509,509,12,29,1.001819058661143,0.1908968237248939
510,510,12,30,1.001819058661143,0.1908968237248939
511,511,12,31,0.4791308541422858,0.09129848091190576
512,512,12,32,0.8711470075314287,0.16599723802164684
513,513,12,33,0.914704357908,0.17429709992272915
514,514,12,34,0.696917606025143,0.13279779041731749
515,515,12,35,0.609802905272,0.11619806661515276
516,516,12,36,1.2631631609205716,0.24069599513138792
517,517,12,37,0.5662455548954286,0.10789820471407044
518,518,12,38,0.6533602556485716,0.12449792851623515
519,519,12,39,0.4791308541422858,0.09129848091190576
520,520,13,0,0.9231180720237144,0.17590033484477754
521,521,13,1,0.802711366977143,0.15295681290850222
522,522,13,2,0.6020335252328571,0.11471760968137665
523,523,13,3,0.6421690935817143,0.12236545032680175
524,524,13,4,0.4414912518374286,0.08412624709967621
525,525,13,5,1.123795913768,0.21413953807190308
526,526,13,6,1.123795913768,0.21413953807190308
527,527,13,7,0.7224402302794287,0.137661131617652
528,528,13,8,0.9632536403725716,0.18354817549020266
529,529,13,9,0.561897956884,0.10706976903595154
530,530,13,10,0.4816268201862858,0.09177408774510133
531,531,13,11,0.4816268201862858,0.09177408774510133
532,532,13,12,0.3612201151397143,0.06883056580882599
533,533,13,13,0.3612201151397143,0.06883056580882599
534,534,13,14,0.280948978442,0.05353488451797577
535,535,13,15,0.4816268201862858,0.09177408774510133
536,536,13,16,0.561897956884,0.10706976903595154
537,537,13,17,0.5217623885351428,0.09942192839052641
538,538,13,18,1.0435247770702856,0.19884385678105282
539,539,13,19,0.4013556834885715,0.07647840645425111
540,540,13,20,0.561897956884,0.10706976903595154
541,541,13,21,0.7224402302794287,0.137661131617652
542,542,13,22,0.4013556834885715,0.07647840645425111
543,543,13,23,0.4013556834885715,0.07647840645425111
544,544,13,24,1.003389208721429,0.1911960161356278
545,545,13,25,0.4414912518374286,0.08412624709967621
546,546,13,26,0.6020335252328571,0.11471760968137665
547,547,13,27,0.8428469353260001,0.1606046535539273
548,548,13,28,0.9632536403725716,0.18354817549020266
549,549,13,29,0.9231180720237144,0.17590033484477754
550,550,13,30,0.9231180720237144,0.17590033484477754
551,551,13,31,0.4414912518374286,0.08412624709967621
552,552,13,32,0.802711366977143,0.15295681290850222
553,553,13,33,0.8428469353260001,0.1606046535539273
554,554,13,34,0.6421690935817143,0.12236545032680175
555,555,13,35,0.561897956884,0.10706976903595154
556,556,13,36,1.1639314821168572,0.22178737871732818
557,557,13,37,0.5217623885351428,0.09942192839052641
558,558,13,38,0.6020335252328571,0.11471760968137665
559,559,13,39,0.4414912518374286,0.08412624709967621
560,560,14,0,0.752762223557143,0.1434389935535778
561,561,14,1,0.6545758465714286,0.12472955961180678
562,562,14,2,0.4909318849285714,0.09354716970885507
563,563,14,3,0.5236606772571429,0.09978364768944543
564,564,14,4,0.3600167156142856,0.0686012577864937
565,565,14,5,0.9164061852,0.17462138345652947
566,566,14,6,0.9164061852,0.17462138345652947
567,567,14,7,0.5891182619142857,0.11225660365062609
568,568,14,8,0.7854910158857143,0.14967547153416813
569,569,14,9,0.4582030926,0.08731069172826474
570,570,14,10,0.3927455079428572,0.07483773576708407
571,571,14,11,0.3927455079428572,0.07483773576708407
572,572,14,12,0.2945591309571428,0.05612830182531304
573,573,14,13,0.2945591309571428,0.05612830182531304
574,574,14,14,0.2291015463,0.04365534586413237
575,575,14,15,0.3927455079428572,0.07483773576708407
576,576,14,16,0.4582030926,0.08731069172826474
577,577,14,17,0.4254743002714285,0.08107421374767439
578,578,14,18,0.850948600542857,0.16214842749534877
579,579,14,19,0.3272879232857143,0.06236477980590339
580,580,14,20,0.4582030926,0.08731069172826474
581,581,14,21,0.5891182619142857,0.11225660365062609
582,582,14,22,0.3272879232857143,0.06236477980590339
583,583,14,23,0.3272879232857143,0.06236477980590339
584,584,14,24,0.8182198082142857,0.15591194951475845
585,585,14,25,0.3600167156142856,0.0686012577864937
586,586,14,26,0.4909318849285714,0.09354716970885507
587,587,14,27,0.6873046388999999,0.13096603759239708
588,588,14,28,0.7854910158857143,0.14967547153416813
589,589,14,29,0.752762223557143,0.1434389935535778
590,590,14,30,0.752762223557143,0.1434389935535778
591,591,14,31,0.3600167156142856,0.0686012577864937
592,592,14,32,0.6545758465714286,0.12472955961180678
593,593,14,33,0.6873046388999999,0.13096603759239708
594,594,14,34,0.5236606772571429,0.09978364768944543
595,595,14,35,0.4582030926,0.08731069172826474
596,596,14,36,0.9491349775285716,0.18085786143711985
597,597,14,37,0.4254743002714285,0.08107421374767439
598,598,14,38,0.4909318849285714,0.09354716970885507
599,599,14,39,0.3600167156142856,0.0686012577864937
600,600,15,0,0.5948216416905715,0.11334338381754046
601,601,15,1,0.5172362101657144,0.09855946418916563
602,602,15,2,0.3879271576242858,0.07391959814187422
603,603,15,3,0.4137889681325714,0.07884757135133247
604,604,15,4,0.2844799155911429,0.054207705304041086
605,605,15,5,0.7241306942319999,0.13798324986483185
606,606,15,6,0.7241306942319999,0.13798324986483185
607,607,15,7,0.4655125891491429,0.08870351777024905
608,608,15,8,0.6206834521988572,0.11827135702699874
609,609,15,9,0.3620653471159999,0.06899162493241591
610,610,15,10,0.3103417260994286,0.05913567851349937
611,611,15,11,0.3103417260994286,0.05913567851349937
612,612,15,12,0.2327562945745714,0.04435175888512451
613,613,15,13,0.2327562945745714,0.04435175888512451
614,614,15,14,0.1810326735579999,0.03449581246620794
615,615,15,15,0.3103417260994286,0.05913567851349937
616,616,15,16,0.3620653471159999,0.06899162493241591
617,617,15,17,0.3362035366077143,0.06406365172295764
618,618,15,18,0.6724070732154287,0.1281273034459153
619,619,15,19,0.2586181050828572,0.049279732094582814
620,620,15,20,0.3620653471159999,0.06899162493241591
621,621,15,21,0.4655125891491429,0.08870351777024905
622,622,15,22,0.2586181050828572,0.049279732094582814
623,623,15,23,0.2586181050828572,0.049279732094582814
624,624,15,24,0.646545262707143,0.12319933023645703
625,625,15,25,0.2844799155911429,0.054207705304041086
626,626,15,26,0.3879271576242858,0.07391959814187422
627,627,15,27,0.543098020674,0.10348743739862389
628,628,15,28,0.6206834521988572,0.11827135702699874
629,629,15,29,0.5948216416905715,0.11334338381754046
630,630,15,30,0.5948216416905715,0.11334338381754046
631,631,15,31,0.2844799155911429,0.054207705304041086
632,632,15,32,0.5172362101657144,0.09855946418916563
633,633,15,33,0.543098020674,0.10348743739862389
634,634,15,34,0.4137889681325714,0.07884757135133247
635,635,15,35,0.3620653471159999,0.06899162493241591
636,636,15,36,0.7499925047402858,0.14291122307429013
