Origen,Destino,Distancia_km,Desnivel,Consumo_Wh
7.0,17.0,3.0828,-52.0,36.4178
7.0,18.0,2.0841999999999996,-52.0,22.936699999999995
7.0,19.0,7.5296,-36.0,98.04960000000001
7.0,20.0,7.9414,-5.0,106.7089
7.0,21.0,5.6807,-53.0,71.38945
7.0,22.0,8.7165,-55.0,112.17275
7.0,23.0,10.0879,-16.0,134.58665
7.0,24.0,7.1629,-17.0,94.99914999999999
7.0,25.0,7.3968,-13.0,98.5568
7.0,26.0,6.1849,-6.0,82.89615
7.0,27.0,3.6746,-34.0,46.2071
7.0,28.0,6.4643999999999995,-38.0,83.4694
7.0,29.0,5.8804,-24.0,76.9854
7.0,30.0,3.0051,-54.0,35.168850000000006
7.0,31.0,3.7205,-37.0,46.52674999999999
7.0,32.0,6.0568,-10.0,80.7668
7.0,33.0,2.3016,-9.0,30.1716
7.0,34.0,4.7808,-51.0,59.4408
7.0,35.0,6.1246,-36.0,79.08210000000001
7.0,36.0,2.9069000000000003,-39.0,35.34315
7.0,37.0,6.0133,-36.0,77.57955000000001
7.0,38.0,5.881,-24.0,76.9935
7.0,39.0,4.2953,-38.0,54.186550000000004
8.0,0.0,1.5297,-10.0,19.65095
8.0,1.0,6.392600000000001,-44.0,81.90010000000001
8.0,2.0,6.7923,-40.0,87.69605
8.0,3.0,4.6108,-9.0,61.345800000000004
8.0,4.0,3.6439,8.0,49.99265
8.0,5.0,5.7519,-24.0,75.25065
8.0,6.0,3.2904,-4.0,44.0204
8.0,7.0,7.769100000000001,18.0,106.68285
8.0,9.0,7.8761,-35.0,102.82735
8.0,10.0,9.1084,-35.0,119.4634
8.0,11.0,10.2365,-20.0,136.19275
8.0,12.0,10.0317,-23.0,133.12795
8.0,13.0,10.5725,-20.0,140.72875
8.0,14.0,11.7356,-28.0,155.6306
8.0,15.0,6.8774,-12.0,91.64489999999999
8.0,16.0,6.177,-11.0,82.2895
8.0,17.0,7.085100000000001,-34.0,92.24885
8.0,18.0,5.7783,-34.0,74.60704999999999
8.0,19.0,7.235399999999999,-18.0,95.8779
8.0,20.0,5.8505,13.0,80.28175
8.0,21.0,7.8572,-35.0,102.5722
8.0,22.0,10.0969,-37.0,132.60815
8.0,23.0,10.651200000000001,2.0,143.9912
8.0,24.0,1.6309,1.0,22.117150000000002
8.0,25.0,4.885,5.0,66.44749999999999
8.0,26.0,4.3713999999999995,12.0,60.213899999999995
8.0,27.0,5.8213,-16.0,76.98755
8.0,28.0,5.5958000000000006,-20.0,73.5433
8.0,29.0,1.5404,-6.0,20.1954
8.0,30.0,4.5889,-36.0,58.35014999999999
8.0,31.0,3.8706,-19.0,50.353100000000005
8.0,32.0,2.781,8.0,38.3435
8.0,33.0,7.8288,9.0,106.5888
8.0,34.0,4.7841000000000005,-33.0,61.28535000000001
8.0,35.0,5.3338,-18.0,70.2063
8.0,36.0,5.690300000000001,-21.0,74.71905000000001
8.0,37.0,8.0767,-18.0,107.23545000000001
8.0,38.0,9.345799999999999,-6.0,125.5683
8.0,39.0,8.6134,-20.0,114.2809
9.0,0.0,7.698,25.0,106.423
9.0,1.0,2.1478,-9.0,28.0953
9.0,2.0,9.1961,-5.0,123.64734999999999
9.0,3.0,7.1061000000000005,26.0,98.53235000000001
9.0,4.0,6.6646,43.0,94.2721
9.0,5.0,4.982600000000001,11.0,68.3651
9.0,6.0,6.2482,31.0,87.4507
9.0,7.0,5.883100000000001,53.0,84.72185
9.0,8.0,7.9051,35.0,110.21885
9.0,10.0,3.2759,0.0,44.22465
9.0,11.0,11.777299999999999,15.0,160.49354999999997
9.0,12.0,11.757299999999999,12.0,159.92354999999998
9.0,13.0,12.7606,15.0,173.7681
9.0,14.0,13.276399999999999,7.0,179.93139999999997
9.0,15.0,8.1486,23.0,112.3061
9.0,16.0,6.7908,24.0,94.0758
9.0,17.0,7.7255,1.0,104.39425
9.0,18.0,6.6004,1.0,89.20539999999998
9.0,19.0,3.9454000000000002,17.0,54.962900000000005
9.0,20.0,5.1567,48.0,74.41544999999999
9.0,21.0,1.8785999999999998,0.0,25.361099999999997
9.0,22.0,2.4781,-2.0,33.254349999999995
9.0,23.0,3.9726999999999997,37.0,57.33145
9.0,24.0,8.763399999999999,36.0,121.90589999999997
9.0,25.0,6.0965,40.0,86.30275
9.0,26.0,5.1096,47.0,73.67960000000001
9.0,27.0,3.8726,19.0,54.180099999999996
9.0,28.0,3.4911999999999996,15.0,48.63119999999999
9.0,29.0,6.6006,29.0,92.00810000000001
9.0,30.0,6.7055,-1.0,90.42425
9.0,31.0,6.1028,16.0,83.9878
9.0,32.0,5.476100000000001,43.0,78.22735
9.0,33.0,7.2601,44.0,102.41135000000001
9.0,34.0,8.4813,2.0,114.69754999999999
9.0,35.0,9.459200000000001,17.0,129.3992
9.0,36.0,4.2008,14.0,58.1108
9.0,37.0,10.9061,17.0,148.93234999999999
9.0,38.0,2.6759,29.0,39.02465
9.0,39.0,4.7393,15.0,65.48055
10.0,0.0,8.7096,25.0,120.0796
10.0,1.0,3.3034,-9.0,43.6959
10.0,2.0,10.7559,-5.0,144.70465000000002
